iter	Logloss
0	0.4663043021
1	0.3229238056
2	0.219742162
3	0.1628557903
4	0.1276115851
5	0.1014765652
6	0.09048318487
7	0.08070880514
8	0.07116269311
9	0.06571590177
10	0.05974068103
11	0.0548674765
12	0.05133955714
13	0.04803062522
14	0.04554746326
15	0.04316226596
16	0.04021678322
17	0.03755046606
18	0.03499334515
19	0.03412964082
20	0.03330892215
21	0.03213424294
22	0.03122192246
23	0.02989166634
24	0.02825176812
25	0.02717604807
26	0.02635522159
27	0.02568743411
28	0.02473757038
29	0.02411415408
30	0.0230631818
31	0.02207183551
32	0.02166682285
33	0.02060999009
34	0.02017512692
35	0.01994915451
36	0.01936477361
37	0.01886664989
38	0.01827725912
39	0.0176549859
40	0.0168337167
41	0.01653495397
42	0.0160812102
43	0.01547054461
44	0.01487704893
45	0.0144783478
46	0.01410397107
47	0.01371707791
48	0.01355662056
49	0.01319319975
50	0.01296728724
51	0.01270522064
52	0.01230817074
53	0.01215940975
54	0.01184736523
55	0.01139349502
56	0.01111575054
57	0.01085891133
58	0.01062911923
59	0.01045062914
60	0.01032519207
61	0.01012615551
62	0.009895159232
63	0.0095571583
64	0.009425015618
65	0.009111594028
66	0.008903477106
67	0.008555149982
68	0.008374740522
69	0.008300729764
70	0.008178243552
71	0.0080106227
72	0.007928902381
73	0.007738113517
74	0.007602792326
75	0.007524210596
76	0.007400480088
77	0.007188105499
78	0.006961423311
79	0.00688741078
80	0.006746863082
81	0.006662983536
82	0.006540981184
83	0.006455052382
84	0.006374524504
85	0.006292866417
86	0.006174611405
87	0.006046372309
88	0.00590075377
89	0.005780089954
90	0.005693370676
91	0.005617087393
92	0.005547730862
93	0.005434815468
94	0.005403629009
95	0.005303117092
96	0.005189953976
97	0.005109673968
98	0.005030575175
99	0.004908482401
100	0.004844929356
101	0.004783298453
102	0.004725548336
103	0.004695671475
104	0.004654944774
105	0.00459924091
106	0.004536062541
107	0.00435144028
108	0.004312076373
109	0.004278542501
110	0.004225261936
111	0.004159476103
112	0.004141591673
113	0.004069419876
114	0.00401106977
115	0.003960781904
116	0.003905581327
117	0.003860316769
118	0.003798150418
119	0.00377532049
120	0.003726407615
121	0.003645527322
122	0.003623328552
123	0.003594761615
124	0.003545458536
125	0.003491394905
126	0.003479036735
127	0.003438546078
128	0.003438496889
129	0.003390289916
130	0.003349876003
131	0.003306886319
132	0.003289372522
133	0.003253711214
134	0.00321731082
135	0.003192266201
136	0.003192197604
137	0.003167026818
138	0.003123886694
139	0.00305637828
140	0.003056375742
141	0.003049452522
142	0.003027213176
143	0.002998737476
144	0.002986186861
145	0.002961811901
146	0.002950776697
147	0.002925337994
148	0.002897026086
149	0.002877131869
